Gene stable ID	Gene stable ID version
ENSVPAG00000005659	ENSVPAG00000005659.1
ENSVPAG00000001968	ENSVPAG00000001968.1
ENSVPAG00000001968	ENSVPAG00000001968.1
ENSVPAG00000001308	ENSVPAG00000001308.1
ENSVPAG00000001562	ENSVPAG00000001562.1
ENSVPAG00000006160	ENSVPAG00000006160.1
ENSVPAG00000006160	ENSVPAG00000006160.1
ENSVPAG00000009008	ENSVPAG00000009008.1
ENSVPAG00000002073	ENSVPAG00000002073.1
ENSVPAG00000012383	ENSVPAG00000012383.1
ENSVPAG00000007744	ENSVPAG00000007744.1
ENSVPAG00000007744	ENSVPAG00000007744.1
ENSVPAG00000007744	ENSVPAG00000007744.1
ENSVPAG00000012292	ENSVPAG00000012292.1
ENSVPAG00000008519	ENSVPAG00000008519.1
ENSVPAG00000005598	ENSVPAG00000005598.1
ENSVPAG00000002912	ENSVPAG00000002912.1
ENSVPAG00000009944	ENSVPAG00000009944.1
ENSVPAG00000010953	ENSVPAG00000010953.1
ENSVPAG00000010953	ENSVPAG00000010953.1
ENSVPAG00000010953	ENSVPAG00000010953.1
ENSVPAG00000010212	ENSVPAG00000010212.1
ENSVPAG00000009513	ENSVPAG00000009513.1
ENSVPAG00000009513	ENSVPAG00000009513.1
ENSVPAG00000011451	ENSVPAG00000011451.1
ENSVPAG00000011451	ENSVPAG00000011451.1
ENSVPAG00000003101	ENSVPAG00000003101.1
ENSVPAG00000003101	ENSVPAG00000003101.1
ENSVPAG00000002522	ENSVPAG00000002522.1
