Gene stable ID	Gene stable ID version
ENSVPAG00000011930	ENSVPAG00000011930.1
ENSVPAG00000006562	ENSVPAG00000006562.1
ENSVPAG00000006562	ENSVPAG00000006562.1
ENSVPAG00000006722	ENSVPAG00000006722.1
ENSVPAG00000009473	ENSVPAG00000009473.1
ENSVPAG00000000807	ENSVPAG00000000807.1
ENSVPAG00000010774	ENSVPAG00000010774.1
ENSVPAG00000003467	ENSVPAG00000003467.1
ENSVPAG00000003303	ENSVPAG00000003303.1
ENSVPAG00000002347	ENSVPAG00000002347.1
ENSVPAG00000005356	ENSVPAG00000005356.1
ENSVPAG00000002791	ENSVPAG00000002791.1
ENSVPAG00000006160	ENSVPAG00000006160.1
ENSVPAG00000006160	ENSVPAG00000006160.1
ENSVPAG00000002395	ENSVPAG00000002395.1
ENSVPAG00000009656	ENSVPAG00000009656.1
ENSVPAG00000002018	ENSVPAG00000002018.1
ENSVPAG00000006526	ENSVPAG00000006526.1
ENSVPAG00000007631	ENSVPAG00000007631.1
ENSVPAG00000007631	ENSVPAG00000007631.1
ENSVPAG00000009386	ENSVPAG00000009386.1
ENSVPAG00000000308	ENSVPAG00000000308.1
ENSVPAG00000005950	ENSVPAG00000005950.1
ENSVPAG00000004389	ENSVPAG00000004389.1
ENSVPAG00000002374	ENSVPAG00000002374.1
ENSVPAG00000009894	ENSVPAG00000009894.1
ENSVPAG00000006333	ENSVPAG00000006333.1
ENSVPAG00000012555	ENSVPAG00000012555.1
ENSVPAG00000004735	ENSVPAG00000004735.1
ENSVPAG00000009174	ENSVPAG00000009174.1
